Name,Category,Address,City,Phone,Website,Hours,X,Y,Confirmed Open,Citation
Divine Tires,Automotive,395 Hawthorne Avenue,Athens,(706) 546-6787,N/A,M-Sat 9-8,-83.412061,33.954875,Y,Google
Jimmy's Automotive,Automotive,150 Whit Davis Rd,Athens,(706) 850-9298,N/A,M-F 9-6,-83.311821,33.931843,Y,Google
Kar Toyz,Automotive,2230 Lexington Rd,Athens,(706) 351-2505,https://www.facebook.com/kartoyz/,"M-F 8:30-5, Sat 8:30-2",-83.339016,33.944594,Y ,Google
Master Detail Mobile Auto Spa & Pressure Washing,Automotive,N/A ,Athens,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A 
Pittman's Tire Service,Automotive,1525 Lexington Rd,Athens,(706) 543-2908,N/A,M-F 9a-5:30p,-83.350919,33.946908,Y,Google/Website maintained
Prime Tire,Automotive,1293 W Broad St,Athens,(706) 549-9991,https://www.facebook.com/pages/Prime-Tires/409611462473633,M-Sat: 8am-6pm Sun: closed,-83.39327,33.95345,Y,Google
Real Good Car Wash,Automotive,N/A ,Athens,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A 
Tire Depot,Automotive, 890 E Broad St,Athens,(770) 613-9547,N/A,"M-R 9:00-6:30, F 9:00-8:00, Sa 9:00-5:00",-83.390873,33.955124,Y,Google/Facebook Active
HUGHES COLLISION CENTER,Automotive,3010 Atlanta Highway,Athens,(877) 752-8134,https://www.hughessubaru.com/bodyshop/index.htm,N/A,-83.440252,33.944473,Y,Website Active
Tony Mattox Car Wash/Detail,Automotive,1290 Oconee St,Athens,N/A,https://www.facebook.com/pages/Tony-Mattox-Car-Wash/1558981647709326,N/A,-83.35891,33.94795,Y,"No google listing or facebook, probably need to check through other means."
Ace Hair and Beauty Supply,Barber & Beauty,400 Hawthorne Ave,Athens,(706) 548-8005,http://www.acehairandbeautysupply.com/,N/A,-83.411636,33.955593,Y,Google
Browns Beauty & Barber,Barber & Beauty,325 N Hull Street,Athens,(706) 353-9079,N/A,"M-T 9AM-6PM, Th-Sa 8AM-6:00PM",-83.431379,33.958832,Y,Google
Eye Candy,Barber & Beauty,325 N Hull St,Athens,(706) 619-3737,https://www.facebook.com/eyecandylashbrowbar/,M-F 10-4,-83.379074,33.958932,Y ,Google
Dazzle Nail Bar,Barber & Beauty,"50 Gaines School Rd, Ste 10",Athens,(217) 862-4848,N/A,N/A,-83.324264,33.938378,Y,https://www.superpages.com/bp/athens-ga/dazzle-nail-bar-L2200878040.htm
Jets Cuts and Styles,Barber & Beauty,400 Hawthorne Ave,Athens,(770) 850-3379,https://www.facebook.com/barberking1000/,M-Sa 9AM-5PM,-83.41164,33.9556,Y,Google
Knotty By Nature,Barber & Beauty,1550 Lexington Rd B,Athens,(678) 481-0511,https://www.knottybynaturehairsalon.com/,"T-R 9:00-6:00, F-Sa 8:30-5:00",-83.353367,33.947073,Closed (Monica Taylor sitll operating @ Studio 633),Google/website defunct
Nina Styles,Barber & Beauty,225 Cherokee Rd Suite 3,Winterville,(706) 899-0404,https://www.facebook.com/ninastyles2/,"10 AM - 2 PM Monday-Saturday, Sunday Closed",-83.354581,33.955954,Y,Google/Facebook Active
Shear Performance Hair Designers,Barber & Beauty,625 Hawthorne Ave,Athens,(706) 546- 7934,https://www.facebook.com/pages/Shear-Performance-Hair-Designers/116996615026755,T-F 9AM-6PM,-83.41355,33.9602,Y,Google/Facebook Active
Sheats Barber & Beauty Shop,Barber & Beauty,1296 W Hancock Ave,Athens,(706) 548-1237,https://www.facebook.com/Sheats-Barber-and-Beauty-Shop-222736727860427/,"T-R 9a-6p, F-Sat8a-6p",-83.394333,33.956039,Y,Google/Facebook Active
Studio 74,Barber & Beauty,145 Epps Bridge Rd,Athens,(706) 543-9144,https://www.facebook.com/pages/Studio-74/140303656007030,M-Sat 7:45am-6pm,-83.427917,33.94442,Y,Google/Facebook Active
Upper Cutz Barber Shop,Barber & Beauty,"395 Glenhaven Ave,",Athens,(706) 353-9621,https://www.facebook.com/UpperCutzAthens/,"T-F 9a-7p,Sat 8a-4p",-83.39801,33.953354,Y,Google/Facebook Active
Wilson's Styling Shop,Barber & Beauty,343 N Hull St,Athens,(706) 543-2080,https://www.facebook.com/wilsons.stylingshop,"8am-6pm, Closed Wednesday and Sunday",-83.37909,33.959,Y,Google/Facebook Active
Wilson's Hair World,Barber & Beauty,"415 Hawthorne Ave, Ste B",Athens,(706) 613-9041,https://www.facebook.com/pages/Wilsons-Hair-World/107266742664871,"Mon-Tue, Fri-Sat: 8:00 AM-6:00 PM R: 8a-5p",-83.41255,33.95573,Y,Google/Facebook Active
Barfields,Bars & Night Life,2005 Danielsville Rd,Athens,(770) 241-2249,https://www.facebook.com/Barfields-674745426065854/,Varies,-83.349414,34.006002,Unclear (likely closed),"Last facebook post seems like they no longer operate at existing location, no info on new location, no google listing."
Gresham's Disco Lounge,Bars & Night Life,1495 W Broad St,Athens,(706) 548-4389,https://www.facebook.com/pages/Greshams-Disco/152967644742590,N/A,-83.39605,33.95291,Y,Google/Website maintained
Hawian ha le club and event center,Bars & Night Life,2685 Danielsville Rd,Athens,(706) 372-2121,https://www.facebook.com/TheHawaiianHaleNightclub/,F-Sun 8PM-2AM,-83.340222,34.019084,Y ,Google
The Island,Bars & Night Life,213 B Tallassee Rd,Athens,(706) 296-2945,https://www.facebook.com/diverseuniversestudio/,"R 8PM-12AM, F 8PM-2AM, Sat 9PM-1:55AM",-83.431333,33.966176,Y ,Google
Vanish Night Club,Bars & Night Life,112 Ben Burton Circle,Bogart,(706) 353-3053,N/A,N/A,-83.47555,33.94375,Y,"No active internet presence, confirm via alternatives"
Genesis (formerly Venom Night Club),Bars & Night Life,1700 Commerce Rd,Athens,(706) 351-4174,https://www.facebook.com/genesisnightclubathens/,R-Sat 9PM-2AM,-83.379234,33.99375,Y ,Google
"Allens Admissions Consulting, LLC",Education,N/A,Athens,(706) 510-4582,https://www.allenadmissions.com/,By Appointment,N/A,N/A,Y ,Google
Bright Beginnings Daycare,Education,1692 W Hancock Ave,Athens,(706) 543-9491,N/A,M-F 6:00am-6:00pm,-83.39841,33.951791,Y,Google/https://childcarecenter.us/provider_detail/bright_beginnings_preschool_of_athens_llc_athens_ga
Magic Years of Learning Daycare,Education,575 N Harris St,Athens,(706) 548-5503,N/A,M-F 6:30am-6:00pm,-83.389122,33.960285,Y ,"No online presence, check location/call"
Get STEMulated,Education,334 Hampton Park Drive,Athens,(706) 308-8881,https://www.getstemulated.com/?fbclid=IwAR2MVWh6DFogRssoisNoapTmV5tmInMvdi45lWcS6JZSQ1HIGm9pqON1ORo,By Appointment,-83.423144,33.953192,Y ,Website active
Taneisha Brooks Consulting Service,Education,N/A,Athens,(678) 752-1514,https://www.facebook.com/grantwriting101/,N/A,N/A,N/A,Y,Google/Facebook
Science Guyz,Education,250 W Broad St #120,Athens,(706) 552-0777,http://www.scienceguyz.com/,"M-Th 2pm-10pm, F 2pm-6pm, Sun 2pm-10pm",-83.37889,33.95707,Y,Google/Website maintained
Ellison's Tax Professional Services,Financial Services,1711 Prince Avenue,Athens,(706) 369-7147,http://www.ellisonspro.com/,"Offseason Hours 4/16-1/08: M-F 8:30-5, Sat&Sun Closed; Tax Season Hours 1/10-4/15: M-F 8:30-8:00, Sat. 8:30-4:00, Sunday-Closed (Google Lists these hours, no info on offseason hours)",-83.407286,33.9674,Y,Google/Website maintained
