Name,Category,Address,City,Phone,Website,Hours,X,Y,Confirmed Open,Citation
Ace Hair and Beauty Supply,Barber & Beauty,400 Hawthorne Ave,Athens,706-548-8005,http://www.acehairandbeautysupply.com/,N/A,-83.411636,33.955593,Unclear,"Website defunct, no other presence"
Adam?s Vending/Adams Management Group,Retail/Shops,429 River Chase Dr,Athens,(706) 255-0835,N/A,N/A,-83.32158,33.89898,Y,"No online presence, check location/call"
African and Asian Grocery,Restaurant/Ice Cream,50 Gaines School Road,Athens,678 698 7723,N/A,Mon-Sat 9-9,-83.3242845,33.9384695,Closed,Yelp
Athens West Dental,Healthcare,10 Huntington Rd,Athens,(706) 543-7262,https://www.facebook.com/pages/category/Dentist---Dental-Office/West-Athens-Dental-Center-1405250513109387/,By appointment,-83.46787,33.93677,Unclear,Website defunct
A-Y Drywall,Home repair and maintenance,160 Marlborough Downs Rd,Athens,(706) 352-7712,N/A,N/A,-83.34606,33.96043,Y,"No online presence, check location/call"
Barfields,Bars & Night Life,2005 Danielsville Rd,Athens,(770) 241-2249,https://www.facebook.com/Barfields-674745426065854/,Varies,-83.349414,34.006002,Unclear (likely closed),"Last facebook post seems like they no longer operate at existing location, no info on new location, no google listing."
Barnetts Flooring and Construction,Home repair and maintenance,200 Spring Cir,Athens,(404)-202-7211,https://www.superpages.com/bp/athens-ga/barnetts-flooring-construction-L2708288843.htm,N/A,-83.347427,33.961281,Y ,"No active internet presence, confirm via alternatives"
Bright Beginnings Daycare,Education,1692 W Hancock Ave,Athens,(706) 543-9491,N/A,M-F 6:00am-6:00pm,-83.39841,33.951791,Y,Google/https://childcarecenter.us/provider_detail/bright_beginnings_preschool_of_athens_llc_athens_ga
Browns Beauty & Barber,Barber & Beauty,325 N Hull Street,Athens,(706) 353-9079,N/A,"M-T 9AM-6PM, Th-Sa 8AM-6:00PM",-83.431379,33.958832,Y,Google
Citgo Cellular/Smart Shop,Tech/Cellular,159 Nellie B Ave,Athens,(706) 850-6602,https://www.facebook.com/Citgo-Cellular-964899816871954/,"M-F 10a-11p, Sat 12-9p",-83.354546,33.956219,Y,"Facebook still up, maybe want to call"
Coast 2 Coast Moves,Home repair and maintenance,300 Sarah Dr.,Athens,(770) 256-6741,https://www.facebook.com/c2cmove/,N/A,-83.433994,33.969651,Y,Google  
Couture Bodies,Fitness,850 Hawthorne Ave,Athens,706-224-1189,https://www.couturebodies.com/,N/A,-83.413303,33.963469,Unclear,"No google, website seems defunct"
