Company,Categroy,Address,City,Phone,Website,Hours,Confirmed Open,Citation,GA Resident,Small Business,Certified Minority
"4 children Alone, Inc.",,,Athens,,,,,,Y,Y,N
7706Peach Clean Linen Services,,,Athens,,,,,,N,N,N
AIDS COALITION OF NORTHEAST GA,Healthcare,"112 Park Ave
",ATHENS,(706) 549-3730,http://www.liveforward.org/,By Appointment:  M– W:10:00am -4:00pm R: 10:00am-6:00pm.,Y,Website Active,N,N,N
Above and Beyond Professional Services,Home repair and maintenance,630 Hawthorne Avenue,Athens,(706)296-0619,http://www.aboveandbeyondathens.com/janitorial.php,By appointment,Y,Website Active,Y,Y,N
Americas Best Painting Pros,,,ATHENS,,,,,,Y,Y,N
BTAFCOA Community Center,Social Work,101 Whitehead Road,Athens,(706) 338-4035,N/A,N/A,Closed,https://bizstanding.com/p/bethesda+temple+apostolic+church-15510216,N,N,N
COOKS & SONS JANITORIAL SERVICES,Home repair and maintenance,242 Holmes Ave,ATHENS,(706) 340-7892,N/A,N/A,Y,Google,N,Y,N
Career Vision Coaching,,,Athens,,,,,,Y,Y,N
CircaPharmakon,Laboratory,205 Pineview Dr Suite A,Athens,N/A,N/A,N/A,Y,https://www.contractlaboratory.com/labclass/directories/laboratories.cfm?CircaPharmakon&i=B9B3FE168F6B38C4CFB081B2BCAF0541,Y,Y,N
Classic City Janitorial Service LLC.,Home repair and maintenance,127 FEATHERWOOD CT,ATHENS,(706) 202-8811,N/A,9-5 all week,Y,http://www.salespider.com/b-422089484/classic-city-janitorial-service-llc,Y,Y,N
Diamond Global,Media,117 Whisperwood Ln,Athens,(706) 338-8002,http://www.godiamondglobal.com/,N/A,Y,Website Active,N,N,N
Dominion Real Estate Solutions LLC,Home repair and maintenance,N/A,Athens,(706) 224-1664,N/A,N/A,Y,Google/Facebook,Y,Y,N
EXPERTISE JANITORIAL,Home repair and maintenance,197 Park Ave,ATHENS,(706) 369-9444,N/A,N/A,Y,Google ,N,N,N
Edmonds Enterprises,Financial Services,1127 W Hancock Ave,Athens,(706) 372-7053,N/A,N/A,Y,Google,Y,Y,N
Faith Electronic Service,Tech,740 Pine Forest Dr.,Athens,(706) 543-0318,https://www.facebook.com/pages/Faith-Electronic-Service/1444764455848133,N/A,Y,Google,Y,Y,N
"Georgetown Industrial Group, Ltd",,,Athens,,,,,,Y,Y,N
HJS SERVICES LLC,Home repair and maintenance,355 Camelot Dr,athens,(762) 499-0106,https://www.howardjanitorial.net/,By appointment,Y,Website Active,Y,Y,N
HUGHES COLLISION CENTER,Automotive,3010 Atlanta Highway,ATHENS,877-752-8134,https://www.hughessubaru.com/bodyshop/index.htm,,Y,Website Active,N,N,N
HowardLacinne,,,Athens,,,,,,N,N,N
JCK ENTERPRISE,,,ATHENS,,,,,,N,N,N
KINGh Enterprise,Media,182 Ben Burton Cir #300b,Bogart,(706) 255-5697,https://kingh1.dcpromosite.com/?fbclid=IwAR0qNm1IfLeULbWyw-Fak1D-1YyMU1pCQl1xjbS4U58VPxBD6aEUw0i3TKw,24/7,Y,Google/Facebook,N,N,N
"LARRY,CRAIG",,,ATHENS,,,,,,N,Y,N
"LarTech Solutions, LLC",N/A,N/A,Athens,N/A,N/A,N/A,Closed,https://www.georgia-register.com/11073219-lartech-solutions-llc,Y,Y,N
"Life Transition, Inc.",Social Work,1150 Dearing Ext # A,Athens,(706) 583-8828,N/A,N/A,Y,Google ,Y,Y,N
Long-MitchellDr. Lin,,,Athens,,,,,,N,N,N
"Milton E. Lopes & Associates, LLC.",Meditation,345 W Hancock Ave #100,Athens,(706) 353-2418,N/A,N/A,Y,Google,Y,N,N
Myrick Enterprises,Education,"575 Olympic Drive, Ste 82514",Athens,706-243-4828                     ,http://www.myrickenterprises.com/index.html,,,,N,Y,N
NE GEORGIA TEMPORARY SERVICE INC,Temp Agency,220 College Ave,ATHENS,(706) 549-0704,,,,,Y,Y,N
Pacman Janitorial,,,ATHENS,,,,,,N,Y,N
Pamelas Sensational Cleaning Service,Home repair and maintenance,225 Cherokee Rd Unit 4,Athens,(706) 899-0214,https://www.facebook.com/PSCSATH/,M-F 9-5,Y,Google/Facebook,Y,Y,N
Peachy Green Clean Cooperative,Home repair and maintenance,N/A,Athens,706-248-4601,http://www.peachygreencleancoop.com/,M-Sat 8-7,Y,Website Active,N,Y,N
RESTORATION CLEANING SERVICES,,,ATHENS,,,,,,N,N,N
ROGERS HAULING INC,Hauling,N/A,ATHENS,(706) 206-4081,https://www.rogershaulingga.com/,M-F 8-6,Y,Website Active,Y,Y,Y
"SA Smith Enterprises,LLC DBA Ritas Ice",,,Athens,,,,,,N,Y,N
Smith Tile,Home repair and maintenance,NA,Athens,(706) 873-8764,https://www.athenstilecompany.com/,M-F 8-5,Y,Website Active,N,N,N
Sterling Coverings,Home repair and maintenance,1129 Oak Grove Rd,Athens,(706) 621-5919,https://www.facebook.com/Sterlingcoverings/,M-F 9-5,Y,Website Active,Y,Y,N
Superior Commercial Cleaning,Home repair and maintenance,245 Blueberry Hills Court,Athens, (706) 202-1480,N/A,N/A,Y,Google,Y,Y,N
Symbian Environmental,,702 Hidden Creek Dr,Athens,(706) 548-6964,N/A,N/A,Y,Google,Y,Y,N
Taneisha Brooks Consulting Service,Education,N/A,Athens,678 752 1514,https://www.facebook.com/grantwriting101/,N/A,Y,Google/Facebook,Y,Y,N
UZO LLC,,,Athens,,,,,,Y,Y,N
GA Quality Fence,Home repair and maintenance,N/A,athens,(706) 549-8675,http://www.callqualityfence.com/index.php,N/A,Y,Website Active,Y,Y,N
