Name,Category,Address,City,Phone,Website,Hours,X,Y
Nina Styles,Barber & Beauty,585 Vine St,Athens,(706) 206-6351,https://www.facebook.com/ninastyles2/,"Monday-Thursday 10:30-5:00, Friday 8:00-5:00, Saturday 10:00-2:00, Sunday Closed",-83.354581,33.955954
Payne Construction,Home repair and maintenance,145 Walker Dr,Athens,706-552-3911 ex.103,https://www.cityfos.com/company/PAYNE-CONSTRUCTION-COMMERCIAL-in-ATHENS-GA-13209.htm,varies,-83.35249,33.993727
Peaches,Restaurant/Ice Cream,50 Gaines School Road,Athens,706-254-7416,https://www.facebook.com/PEACHES-FINE-FOODS-364019103531/,Tuesday-Friday: 11-2:30,-83.324308,33.938489
Fit Body Boot Camp,Fitness,3569 Atlanta Hwy,Athens,(678) 863-7305,https://www.fitbodybootcamp.com/athensfitnessbootcamp/,"M-Th 5AM-7PM, F 5AM-6:15PM, Sa 8AM-9:15AM",-83.455672,33.938988
Jet Cuts and Styles,Barber & Beauty,400 Hawthorne Ave,Athens,(770) 850-3379,https://www.facebook.com/barberking1000/,M-F 9AM-6PM,-83.41164,33.9556
Shear Performance Hair Designers,Barber & Beauty,625 Hawthorne Ave,Athens,(706) 546- 7934,https://www.facebook.com/pages/Shear-Performance-Hair-Designers/116996615026755,T-F 9AM-6PM,-83.41355,33.9602
Sheats Barber & Beauty Shop,Barber & Beauty,1296 W Hancock Ave,Athens,(706) 548-1237,https://www.facebook.com/Sheats-Barber-and-Beauty-Shop-222736727860427/,"T-R 9a-6p, F-Sat8a-6p",-83.394333,33.956039
Sherri Ellison,Law,1711 Prince Ave,Athens,(706) 369-7147,https://www.lawyers.com/athens/georgia/sherry-l-jackson-ellison-854610-a/,M-F 9a-5p,-83.407318,33.967388
Social Empowerment Center,Social Work,465 Huntington Road,Athens,(706) 395-6020,http://listings.findthecompany.com/l/752633288/Social-Empowerment-Center,M-F 8am-5pm,-83.464294,33.946121
Studio 74,Barber & Beauty,145 Epps Bridge Rd,Athens,(706) 543-9144,https://www.facebook.com/pages/Studio-74/140303656007030,M-Sat 7:45am-6pm,-83.427917,33.94442
Upper Cutz Barber Shop,Barber & Beauty,"395 Glenhaven Ave,",Athens,(706) 353-9621,https://www.facebook.com/UpperCutzAthens/,"T-F 9a-7p,Sat 8a-4p",-83.39801,33.953354
Dawg Gone Good Barbeque,Restaurant/Ice Cream,224 W Hancock Ave,Athens,(706) 613-9799,https://www.facebook.com/dawggonegoodbbq/,"M: 11am-6pm, T:11am-8pm, W: 11am-8pm, R:11am-10pm, F:11am-3am, Sat: 11am-3am, Sun: 12-6pm",-83.379358,33.959698
Fish Shack,Restaurant/Ice Cream,1660 W Broad St,Athens,(706) 521-8333,fishshackathens.com,W-Sat: 11am-8pm Sun-T: closed,-83.398978,33.952851
Food for the Soul,Restaurant/Ice Cream,1965 W Broad St,Athens,(706) 546-0052,N/A,"Tues-F, Sun: 10:30am-4pm, Sat and Mon: closed",-83.402585,33.950978
JR Crickets,Restaurant/Ice Cream,810 Hawthorne Ave,Athens,(706) 850-9800,jrcrickets.com,Sun-Thurs: 11am-12am F-Sat: 11am-2am,-83.413546,33.963085
Athens West Dental,Healthcare,10 Huntington Rd,Athens,(706) 543-7262,westathensdental.net,By appointment,-83.46787,33.93677
Prime Tire,Automotive,1293 W Broad St,Athens,(706) 549-9991,https://www.facebook.com/pages/Prime-Tires/409611462473633,M-Sat: 8am-6pm Sun: closed,-83.39327,33.95345
Tony Mattox Car Wash/Detail,Automotive,1290 Oconee St,Athens,N/A,https://www.facebook.com/pages/Tony-Mattox-Car-Wash/1558981647709326,N/A,-83.35891,33.94795
Wilson's Styling Shop,Barber & Beauty,343 N Hull St,Athens,(706) 543-2080,https://www.facebook.com/wilsons.stylingshop,"8am-6pm, Closed Wednesday and Sunday",-83.37909,33.959
WXAG 1470 am 92.7 FM,Media,855 Sunset Dr,Athens,(706) 425-0877,https://www.facebook.com/wxagathensga/?rf=855958864499397,N/A,-83.41001,33.968308
Browns Beauty & Barber,Barber & Beauty,325 N Hull Street,Athens,(706) 353-9079,N/A,"M-T 9AM-6PM, Th-Sa 8AM-6:00PM",-83.431379,33.958832
Couture Bodies,Fitness,850 Hawthorne Ave,Athens,706-224-1189,https://www.couturebodies.com/,N/A,-83.413303,33.963469
Science Guyz,Education,250 W Broad St #120,Athens,706-552-0777,http://www.scienceguyz.com/,"M-Th 2pm-10pm, F 2pm-5pm, Sun 4pm-9pm",-83.37889,33.95707
Vanish Night Club,Bars & Night Life,112 Ben Burton Circle,Bogart,N/A,N/A,N/A,-83.47555,33.94375
Zebra Magazine,Media,297 Davis Street,Athens,706-353-4009,http://www.zebraoccasions.com/magazine/4594023678,N/A,-83.3859,33.92277
African and Asian Grocery,Restaurant/Ice Cream,50 Gaines School Road,Athens,678 698 7723,N/A,Mon-Sat 9-9,-83.3242845,33.9384695
